VKGroup_1;VkGroup_2;Quantity;vk1_custom_id;vk2_custom_id
25205856;52557389;20;39;115
5486;78019879;49;16;158
40427933;30539192;121;85;53
78019879;47859694;37;158;101
49962921;54295855;33;104;118
1711;142923856;27;12;188
78019879;37495032;192;158;75
57969268;26555975;34;126;46
65652356;59592700;24;147;137
25205856;75895730;20;39;154
78019879;227;146;158;2
54295855;65652356;130;118;147
40427933;109863468;51;85;176
5486;65652356;37;16;147
27917858;54295855;24;47;118
58425455;65652356;23;129;147
25205856;89379348;25;39;165
26555975;31188434;58;46;59
25205856;40710957;20;39;87
78019879;86776361;27;158;162
25205856;37743822;20;39;76
54295855;58425455;34;118;129
25205856;32413198;20;39;62
55059952;65652356;23;119;147
65652356;78019879;126;147;158
78019879;109147221;20;158;175
55821382;78019879;20;122;158
59592700;78019879;84;137;158
932;25205856;29;6;39
25205856;1489644;38;39;27
932;31990499;23;6;61
25205856;17760452;25;39;31
160473982;65652356;28;190;147
5486;94791640;24;16;168
25205856;31709664;20;39;60
51345945;76974318;28;112;156
51345945;61021640;30;112;141
40202469;110581128;81;84;177
43369725;58060828;22;91;127
27917858;37495032;44;47;75
78019879;32668156;38;158;63
51345945;31039056;26;112;58
78019879;24606912;60;158;36
78019879;193648656;44;158;195
26555975;77504235;49;46;157
40427933;40202469;30;85;84
40427933;5562;56;85;17
25205856;37048696;22;39;73
38489;58614200;33;21;131
65652356;94791640;41;147;168
69589815;40202469;21;151;84
160473982;78019879;48;190;158
65464437;1388;34;145;10
37495032;59592700;33;75;137
65464437;111086033;73;145;178
78019879;103966263;20;158;172
78019879;24234717;52;158;35
40202469;25205856;84;84;39
932;33113779;128;6;64
78019879;18517784;28;158;32
43369725;111086033;29;91;178
78019879;170488979;39;158;193
26151903;43369725;28;44;91
49962921;65652356;52;104;147
25205856;47449440;39;39;100
78019879;55821382;28;158;122
27917858;65652356;45;47;147
54295855;49962921;52;118;104
278573;132;22;24;1
40427933;40296;44;85;22
932;17708;140;6;18
78019879;30938657;32;158;57
51345945;341989;81;112;26
